,CTRL_01112018,Ctrl_02072022,IBS.001,IBS.002,IBS.003,IBS.004,IBS.005,IBS.007,IBS.008,IBS.010,IBS.011,IBS.012,IBS.013,IBS.014,IBS.015,IBS.016,IBS.017,IBS.018,IBS.019,IBS.020,IBS.021,IBS.022,IBS.023,IBS.028,IBS.029,IBS.030,IBS.031,IBS.034,IBS.036,IBS.037,IBS.038,IBS.039,IBS.040_02262018,IBS.041,IBS.042,IBS.045,IBS.046,IBS.048,IBS.049,IBS.052,IBS.054,IBS.057,IBS.058,IBS.060,IBS.061,IBS.062,IBS.063,IBS.065,IBS.066,IBS.068,IBS.070,IBS.071,IBS.072,IBS.073,IBS.075,IBS.076,IBS.077,IBS.078,IBS.079,IBS.080
Methanobacterium_sp_MB1,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-19.0365345381556,-8.68219753479385,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-18.6671787250848,-17.7280754165635,-17.3122326418737,-18.6099767559253,-17.629349899083,-18.8978318937069,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Methanobrevibacter_smithii,-15.5797874846977,-15.8093097850607,-19.4265965441472,-5.25626149810782,-18.4808191299283,-17.476526145122,-4.47595115943171,-18.2997368806393,-3.77026688609081,-4.1769026557058,-7.35870633213229,-17.7072414643245,-18.6357989783845,-18.4893581256777,-4.07399295404172,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-3.71867053920567,-18.4150155268711,-17.8851154356548,-18.5795019001054,-4.83516908772759,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-19.0365345381556,-18.5339179965081,-5.01892860262158,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-5.95937388440558,-18.6880710489984,-7.42647321350892,-19.2384126649297,-5.90949730403253,-18.6671787250848,-17.7280754165635,-17.3122326418737,-18.6099767559253,-17.629349899083,-18.8978318937069,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-7.89809537889551,-17.5506345579566
Methanosphaera_stadtmanae,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-6.65023248234629,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-9.58990959343484,-18.5154641486714,-19.0365345381556,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-18.6671787250848,-17.7280754165635,-17.3122326418737,-18.6099767559253,-17.629349899083,-18.8978318937069,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Candidatus_Methanomassiliicoccus_intestinalis,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-19.0365345381556,-7.57297006535136,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-3.67047933795082,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-18.6671787250848,-17.7280754165635,-17.3122326418737,-9.05455842585605,-17.629349899083,-18.8978318937069,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Actinobaculum_sp_oral_taxon_183,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-10.8337781565,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-12.1213986191952,-18.6959376173395,-8.50069078097871,-18.4902012095704,-18.6671787250848,-17.7280754165635,-17.3122326418737,-18.6099767559253,-17.629349899083,-9.50592024632743,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Actinomyces_cardiffensis,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-19.0365345381556,-18.5339179965081,-8.39634788829564,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-18.6671787250848,-17.7280754165635,-17.3122326418737,-18.6099767559253,-17.629349899083,-18.8978318937069,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Actinomyces_graevenitzii,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-12.363236570388,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-9.64991614005786,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-9.28532499503122,-17.7280754165635,-17.3122326418737,-18.6099767559253,-17.629349899083,-9.53296948229451,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Actinomyces_johnsonii,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-19.0365345381556,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-10.1578161127837,-17.7280754165635,-17.3122326418737,-18.6099767559253,-17.629349899083,-10.4947036585786,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Actinomyces_naeslundii,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-19.0365345381556,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-10.0095562829591,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-11.5930149655011,-18.4902012095704,-9.25708626125174,-17.7280754165635,-17.3122326418737,-18.6099767559253,-17.629349899083,-9.97637431475898,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Actinomyces_odontolyticus,-15.5797874846977,-15.8093097850607,-12.9030342379977,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-8.33897143347292,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-9.16772724214675,-17.3194781032173,-17.626159535567,-10.8417760194037,-8.54135130422067,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-8.77313806546143,-17.448527875355,-17.7011914361004,-19.5668924563938,-10.7212417816911,-18.9374303064935,-18.6880710489984,-10.5379941102345,-8.63304120839124,-18.4902012095704,-8.08893711310558,-17.7280754165635,-17.3122326418737,-18.6099767559253,-17.629349899083,-8.70313101095514,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
