,CTRL_01112018,Ctrl_02072022,IBS.001,IBS.002,IBS.003,IBS.004,IBS.005,IBS.007,IBS.008,IBS.010,IBS.011,IBS.012,IBS.013,IBS.014,IBS.015,IBS.016,IBS.017,IBS.018,IBS.019,IBS.020,IBS.021,IBS.022,IBS.023,IBS.028,IBS.029,IBS.030,IBS.031,IBS.034,IBS.036,IBS.037,IBS.038,IBS.039,IBS.040_02262018,IBS.041,IBS.042,IBS.045,IBS.046,IBS.048,IBS.049,IBS.052,IBS.054,IBS.057,IBS.058,IBS.060,IBS.061,IBS.062,IBS.063,IBS.065,IBS.066,IBS.068,IBS.070,IBS.071,IBS.072,IBS.073,IBS.075,IBS.076,IBS.077,IBS.078,IBS.079,IBS.080
Methanobacterium_sp_MB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00581999883600023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanobrevibacter_smithii,0,0,0,0.934399626240149,0,0,0.284539914638026,0,1.14059,2.11003,0.21334,0,0,0,1.05384968384509,0,0,0,0,0,0.488039951196005,0,0,0,0.617239753104099,0,0,0,0,0,0,0,0,0,0,0.158229984177002,0,0,0,0,0,0,0,0.125989987401001,0,0.0665499667250166,0,0.203320060996018,0,0,0,0,0,0,0,0,0,0,0.0410900082180016,0
Methanosphaera_stadtmanae,0,0,0,0,0,0,0,0,0,0.18127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00472000094400019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Methanomassiliicoccus_intestinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185299962940007,0,0,0,0,0.472419763790118,0,0,0,0,0,0,0,0,0,0,0,0.0115499988450001,0,0,0,0,0,0,0,0
Actinobaculum_sp_oral_taxon_183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00296999792100146,0,0,0,0,0,0,0,0,0,0,0.000390000078000016,0,0.0216599935020019,0,0,0,0,0,0,0.00748,0,0,0,0,0,0
Actinomyces_cardiffensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00430999956900004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_graevenitzii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000729999489000358,0,0,0,0,0.00143999942400023,0,0,0,0,0,0,0,0,0,0.00639000063900006,0,0,0,0,0.00817,0,0,0,0,0,0
Actinomyces_johnsonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168000016800002,0,0,0,0,0.00196,0,0,0,0,0,0
Actinomyces_naeslundii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509999745000127,0,0,0,0,0,0,0.000739999778000067,0,0.00439000043900004,0,0,0,0,0.0035,0,0,0,0,0,0
Actinomyces_odontolyticus,0,0,0.000590000059000006,0,0,0,0,0,0,0,0,0,0,0.0208099895950052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104099937540037,0,0,0.00201999939400018,0.0290799796440142,0,0,0,0,0.00303999878400049,0,0,0,0.0026500018550013,0,0,0.00219999890000055,0.0187699943690017,0,0.0186100018610002,0,0,0,0,0.01651,0,0,0,0,0,0
